polish_title,original_title,year,rating
Avengers: Wojna bez granic,Avengers: Infinity War,2018,"8,13"
Spider-Man Uniwersum,Spider-Man: Into the Spider-Verse,2018,"8,05"
Avengers: Koniec gry,Avengers: Endgame,2019,"8,04"
Mroczny Rycerz,The Dark Knight,2008,"8,01"
Spider-Man: Bez drogi do domu,Spider-Man: No Way Home,2021,"7,98"
Straż przyboczna,Yōjinbō,1961,"7,96"
Ghost in the Shell,Kōkaku Kidōtai,1995,"7,86"
"Shin Seiki Evangelion Gekijōban: The End of Evangelion: Air/Magokoro o, Kimi ni",,1997,"7,81"
Kowboj Bebop: Pukając do nieba bram,Cowboy Bebop: Tengoku no Tobira,2001,"7,79"
Stranger: Mukō Hadan,,2007,"7,77"
Mroczny Rycerz powstaje,The Dark Knight Rises,2012,"7,73"
Wielka Szóstka,Big Hero 6,2014,"7,71"
Tylko dla orłów,Where Eagles Dare,1968,"7,66"
Najdłuższy dzień,The Longest Day,1962,"7,65"
Iron Man,,2008,"7,62"
Logan: Wolverine,Logan,2017,"7,62"
Dżentelmeni,The Gentlemen,2019,"7,62"
Terminator 2: Dzień sądu,Terminator 2: Judgment Day,1991,"7,60"
Parszywa dwunastka,The Dirty Dozen,1967,"7,59"
Wejście smoka,Enter the Dragon,1973,"7,58"
Deadpool 2,,2018,"7,58"
Ninja Scroll,Jūbee Ninpūchō,1993,"7,58"
Matrix,The Matrix,1999,"7,56"
Deadpool,,2016,"7,56"
Strażnicy Galaktyki vol. 2,Guardians of the Galaxy Vol. 2,2017,"7,55"
Batman - Początek,Batman Begins,2005,"7,55"
Człowiek znikąd,A-jeo-ssi,2010,"7,55"
Tam i z powrotem,,2001,"7,52"
Kung Fury: Pięści czasu,Kung Fury,2015,"7,52"
Patrol,The Guardian,2006,"7,51"
Ostatni bastion,The Last Castle,2001,"7,51"
Jestem przy tobie,Main Hoon Na,2004,"7,51"
Dragon Ball Z: Historia Trunksa,Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu,1993,"7,49"
Znikający punkt,Vanishing Point,1971,"7,49"
Zawód gangster,Rise of the Footsoldier,2007,"7,49"
Pojedynek na szosie,Duel,1971,"7,48"
Metropolis,,2001,"7,48"
Avengers,The Avengers,2012,"7,47"
"Batman DCU: Mroczny rycerz - Powrót, część 2","Batman: The Dark Knight Returns, Part 2",2013,"7,46"
Strażnicy Galaktyki,Guardians of the Galaxy,2014,"7,46"
Kimetsu no Yaiba: Mugen Ressha-Hen,,2020,"7,46"
Kapitan Ameryka: Wojna bohaterów,Captain America: Civil War,2016,"7,46"
Dragon Ball Z: Fuzja,Doragon bôru Z: Fukkatsu no fyushon!! Gokû to Bejîta,1995,"7,45"
Szybcy i wściekli,The Fast and the Furious,2001,"7,45"
Cela 211,Celda 211,2009,"7,44"
Potęga strachu,Running Scared,2006,"7,44"
Pukając do nieba bram,Knockin' On Heaven's Door,1997,"7,43"
Kill Bill 2,Kill Bill: Vol. 2,2004,"7,43"
Dragon Ball Z: Najeźdzcy z kosmosu,Dragon Ball Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu,1993,"7,42"
Szybcy i wściekli 5,Fast Five,2011,"7,42"
Liga Sprawiedliwych: Zaburzone kontinuum,Justice League: The Flashpoint Paradox,2013,"7,42"
"X-Men: Przeszłość, która nadejdzie",X-Men: Days of Future Past,2014,"7,42"
Jin-Rō,,1999,"7,41"
Piąty element,The Fifth Element,1997,"7,41"
Kōkaku Kidōtai Stand Alone Complex: Solid State Society,,2006,"7,41"
Doragon bôru: Ossu! Kaette kita son gokuu to nakama-tachi!!,,2008,"7,41"
Wściekłe pięści,Jing wu men,1972,"7,41"
Doragon Bōru Chō: Burorī,,2018,"7,40"
Pusher III - Jestem aniołem śmierci,Pusher III,2005,"7,40"
Na skraju jutra,Edge of Tomorrow,2014,"7,38"
Evangelion: Death (True)²,Shinseiki Evangelion Gekijōban: Shi to Shinsei,1997,"7,37"
Kill Bill,Kill Bill: Vol. 1,2003,"7,37"
Skazany na śmierć: Ostatnia ucieczka,Prison Break: The Final Break,2009,"7,37"
Batman w cieniu Czerwonego Kaptura,Batman: Under the Red Hood,2010,"7,37"
Iron Man 3,,2013,"7,36"
Terminator,The Terminator,1984,"7,36"
The Transformers: The Movie,,1986,"7,35"
Predator,,1987,"7,35"
Czarodziejka z księżyca - Serca w lodzie,Bishōjo Senshi Sailor Moon S: The Movie,1994,"7,34"
Rumble Fish,,1983,"7,34"
Łzy słońca,Tears of the Sun,2003,"7,34"
The Punisher: Dirty Laundry,,2012,"7,34"
Rambo: Pierwsza krew,First Blood,1982,"7,34"
Miecz zagłady,Dai-bosatsu tôge,1966,"7,33"
Pusher II - Krew na rękach,Pusher II,2004,"7,33"
Pitch Black,,2000,"7,33"
Spider-Man: Daleko od domu,Spider-Man: Far From Home,2019,"7,33"
Kingsman: Tajne służby,Kingsman: The Secret Service,2014,"7,33"
Kara no Kyōkai: Mujun Rasen,,2008,"7,33"
Ślicznotka z Memphis,Memphis Belle,1990,"7,33"
Evangelion 1.01: (Nie) jesteś sam,Evangelion Shin Gekijōban: Jo,2007,"7,33"
Transporter,The Transporter,2002,"7,33"
Batman: Maska Batmana,Batman: Mask of the Phantasm,1993,"7,32"
Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,2013,"7,32"
Szybko i wściekle,Fast & Furious,2009,"7,32"
Kapitan Ameryka: Zimowy Żołnierz,Captain America: The Winter Soldier,2014,"7,32"
Terminator II,,1989,"7,32"
Asy przestworzy,Aces High,1976,"7,31"
Kroniki Riddicka,The Chronicles of Riddick,2004,"7,31"
Szybcy i wściekli 6,Furious 6,2013,"7,30"
Iron Man 2,,2010,"7,30"
Batman,,1989,"7,30"
Dragon Ball Z: Brolly - Drugie Starcie,Dragon Ball Z 10: Kiken na futari! Sûpâ senshi wa nemurenai,1994,"7,29"
13 godzin: Tajna misja w Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016,"7,29"
Brat,,1997,"7,29"
X-Men: Pierwsza klasa,X-Men: First Class,2011,"7,29"
Sławna restauracja,Le grand restaurant,1966,"7,29"
Człowiek pies,Unleashed,2005,"7,28"
Szybcy i wściekli 7,Furious Seven,2015,"7,28"
Last Order: Final Fantasy VII,,2005,"7,27"
