polish_title,original_title,year,rating
Coco,,2017,"8,28"
Król Lew,The Lion King,1994,"8,24"
Klaus,,2019,"8,13"
Sekrety morza,Song of the Sea,2014,"8,06"
Spider-Man Uniwersum,Spider-Man: Into the Spider-Verse,2018,"8,05"
Twój Vincent,Loving Vincent,2017,"7,93"
Zwierzogród,Zootopia,2016,"7,92"
Mary i Max,Mary and Max,2009,"7,91"
Sekret wilczej gromady,Wolfwalkers,2020,"7,91"
The Maker,,2011,"7,86"
Jak wytresować smoka,How to Train Your Dragon,2010,"7,86"
Katedra,,2002,"7,83"
Shrek,,2001,"7,80"
Co w duszy gra,Soul,2020,"7,79"
Sekret księgi z Kells,The Secret of Kells,2009,"7,77"
Żywiciel,The Breadwinner,2017,"7,76"
Trio z Belleville,Les triplettes de Belleville,2003,"7,75"
Paperman,,2012,"7,74"
W głowie się nie mieści,Inside Out,2015,"7,74"
Wyspa psów,Isle of Dogs,2018,"7,74"
Vincent,,1982,"7,73"
Przygody Kubusia Puchatka,The Many Adventures of Winnie the Pooh,1977,"7,73"
Mulan,,1998,"7,72"
Animowana historia Polski,,2010,"7,72"
Jak wytresować smoka 2,How to Train Your Dragon 2,2014,"7,71"
Wielka Szóstka,Big Hero 6,2014,"7,71"
Sztuka spadania,,2004,"7,70"
Zaburzenie częściowe,Partly Cloudy,2009,"7,69"
Brodziec,Piper,2016,"7,68"
Niezwyciężeni,,2017,"7,67"
Fantazja,Fantasia,1940,"7,65"
Stalowy gigant,The Iron Giant,1999,"7,65"
Jeżyk we mgle,Yozhik v tumane,1975,"7,65"
Miasteczko Halloween,The Nightmare Before Christmas,1993,"7,65"
Mały Książę,Le Petit Prince,2015,"7,63"
Mustang z Dzikiej Doliny,Spirit: Stallion of the Cimarron,2002,"7,63"
Planeta skarbów,Treasure Planet,2002,"7,62"
Zaplątani,Tangled,2010,"7,61"
Epoka lodowcowa,Ice Age,2002,"7,59"
12 prac Asteriksa,Les douze travaux d'Astérix,1976,"7,59"
Wszystkie psy idą do nieba,All Dogs Go to Heaven,1989,"7,59"
Piękna i Bestia,Beauty and the Beast,1991,"7,58"
Księga życia,Book of Life,2014,"7,58"
Sing 2,,2021,"7,58"
Drżące trąby,,2010,"7,58"
WALL·E,,2008,"7,57"
Fantastyczny Pan Lis,Fantastic Mr. Fox,2009,"7,56"
Zakochany kundel,Lady and the Tramp,1955,"7,56"
Anastazja,Anastasia,1997,"7,56"
Bajka bajek,Skazka skazok,1979,"7,56"
Nazywam się Cukinia,Ma Vie de Courgette,2016,"7,56"
Pingwiny z Madagaskaru: Misja Świąteczna,The Madagascar Penguins in a Christmas Caper,2005,"7,55"
Żółta łódź podwodna,Yellow Submarine,1968,"7,55"
Herkules,Hercules,1997,"7,55"
Gnijąca panna młoda,Corpse Bride,2005,"7,54"
Kraina lodu,Frozen,2013,"7,53"
Król Lew II: Czas Simby,The Lion King II: Simba's Pride,1998,"7,53"
Opowieść wigilijna Myszki Miki,Mickey's Christmas Carol,1983,"7,53"
Przygody psa Balto,Balto,1995,"7,53"
Jak wytresować smoka 3,How to Train Your Dragon: The Hidden World,2019,"7,53"
Skhizein,,2008,"7,52"
Vaiana: Skarb oceanu,Moana,2016,"7,51"
Prezent nocnej furii,Dragons: Gift of the Night Fury,2011,"7,51"
Wzgórze królików,Watership Down,1978,"7,51"
Dzielny mały toster,The Brave Little Toaster,1987,"7,50"
Presto,,2008,"7,50"
Odlot,Up,2009,"7,50"
Niezwykła Przygoda Kubusia Puchatka,Pooh's Grand Adventure: The Search for Christopher Robin,1997,"7,49"
Ernest i Celestyna,Ernest et Célestine,2012,"7,49"
Potwory i spółka,"Monsters, Inc.",2001,"7,49"
La Luna,,2011,"7,49"
Strażnicy marzeń,Rise of the Guardians,2012,"7,49"
Madagaskar,Madagascar,2005,"7,48"
Koralina i tajemnicze drzwi,Coraline,2009,"7,48"
Kubo i dwie struny,Kubo and the Two Strings,2016,"7,48"
Millhaven,,2010,"7,48"
Harvie Krumpet,,2003,"7,47"
Pocahontas,,1995,"7,47"
Kinematograf,,2009,"7,47"
"Batman DCU: Mroczny rycerz - Powrót, część 2","Batman: The Dark Knight Returns, Part 2",2013,"7,46"
Kiwi!,,2006,"7,46"
Lis i Pies,The Fox and the Hound,1981,"7,46"
Mój brat niedźwiedź,Brother Bear,2003,"7,45"
Fantazja 2000,Fantasia/2000,1999,"7,45"
Starsza pani i gołębie,La Vieille dame et les pigeons,1997,"7,44"
Toy Story,,1995,"7,44"
Iniemamocni 2,Incredibles 2,2018,"7,44"
Mitchellowie kontra maszyny,The Mitchells vs. The Machines,2021,"7,42"
Liga Sprawiedliwych: Zaburzone kontinuum,Justice League: The Flashpoint Paradox,2013,"7,42"
Kłopoty z żołędziami,Gone Nutty,2002,"7,42"
Dzielna pani Brisby,The Secret of NIMH,1982,"7,42"
Aladyn,Aladdin,1992,"7,42"
Droga do El Dorado,The Road to El Dorado,2000,"7,42"
Książę Egiptu,The Prince of Egypt,1998,"7,41"
Nowe szaty króla,The Emperor's New Groove,2000,"7,41"
Shrek 2,,2004,"7,41"
Destino,,2003,"7,41"
Nie czas na żołędzie,No Time for Nuts,2006,"7,40"
Folwark zwierzęcy,Animal Farm,1954,"7,40"
Coś z Alicji,Něco z Alenky,1988,"7,40"
