polish_title,original_title,year,rating
Nietykalni,Intouchables,2011,"8,65"
Hamilton,,2020,"8,50"
Pianista,The Pianist,2002,"8,27"
Piękny umysł,A Beautiful Mind,2001,"8,26"
Przełęcz ocalonych,Hacksaw Ridge,2016,"8,14"
Amadeusz,Amadeus,1984,"8,13"
W pogoni za szczęściem,The Pursuit of Happyness,2006,"8,07"
Najlepszy,,2017,"8,02"
Bogowie,,2014,"8,00"
Senna,,2010,"7,99"
Motylek,Papillon,1973,"7,97"
W imię ojca,In the Name of the Father,1993,"7,97"
Le Mans '66,Ford v Ferrari,2019,"7,94"
Bohemian Rhapsody,,2018,"7,94"
Walka: Życie i zaginiona twórczość Stanisława Szukalskiego,Struggle: The Life and Lost Art of Szukalski,2018,"7,89"
Andriej Rublow,Andrey Rublyov,1966,"7,88"
Przerwana lekcja muzyki,"Girl, Interrupted",1999,"7,88"
Ray,,2004,"7,87"
Wszystko za życie,Into the Wild,2007,"7,87"
Człowiek słoń,The Elephant Man,1980,"7,85"
Ip Man,Yip Man,2008,"7,84"
Wściekły Byk,Raging Bull,1980,"7,84"
Wyścig,Rush,2013,"7,82"
Temple Grandin,,2010,"7,81"
Witaj w klubie,Dallas Buyers Club,2013,"7,80"
Blow,,2001,"7,80"
American Gangster,,2007,"7,79"
Moja lewa stopa,My Left Foot: The Story of Christy Brown,1989,"7,78"
Donnie Brasco,,1997,"7,78"
Blask,Shine,1996,"7,78"
Jak zostać królem,The King's Speech,2010,"7,77"
Tytani,Remember the Titans,2000,"7,77"
Lemmy,,2010,"7,75"
Prawdziwa historia,The World's Fastest Indian,2005,"7,75"
Wielki Mike. The Blind Side,The Blind Side,2009,"7,74"
Walc z Baszirem,Vals im Bashir,2008,"7,74"
"Historia Earla ""Kozła"" Manigaulta",Rebound: The Legend of Earl 'The Goat' Manigault,1996,"7,74"
Hotel Ruanda,Hotel Rwanda,2004,"7,74"
Control,,2007,"7,72"
Wilk z Wall Street,The Wolf of Wall Street,2013,"7,72"
Sugar Man,Searching for Sugar Man,2012,"7,72"
Siła i honor,Men of Honor,2000,"7,71"
Kapitan Phillips,Captain Phillips,2013,"7,71"
Maudie,,2016,"7,71"
Sybil,,1976,"7,70"
Chaplin,,1992,"7,70"
Człowiek ringu,Cinderella Man,2005,"7,70"
Huragan,The Hurricane,1999,"7,70"
Chłopięcy świat,This Boy's Life,1993,"7,69"
Przetrwać w Nowym Jorku,The Basketball Diaries,1995,"7,68"
Ekspres - bohater futbolu,The Express,2008,"7,68"
Serpico,,1973,"7,67"
Marina Abramović: artystka obecna,Marina Abramovic: The Artist Is Present,2012,"7,67"
Ptasznik z Alcatraz,Birdman of Alcatraz,1962,"7,67"
Kwiat pustyni,Desert Flower,2009,"7,66"
Fighter,The Fighter,2010,"7,65"
W rękach Boga,Something the Lord Made,2004,"7,63"
Ostatnia rodzina,,2016,"7,63"
Ukryte działania,Hidden Figures,2016,"7,62"
Cienista dolina,Shadowlands,1993,"7,62"
W stronę morza,Mar adentro,2004,"7,62"
Straight Outta Compton,,2015,"7,62"
Wszystkie poranki świata,Tous les matins du monde,1991,"7,61"
Patch Adams,,1998,"7,61"
Ip Man 2,Yip Man 2,2010,"7,60"
Król rozrywki,The Greatest Showman,2017,"7,60"
Motyl i skafander,Le scaphandre et le papillon,2007,"7,60"
Ruffian,,2007,"7,60"
Scena ciszy,The Look of Silence,2014,"7,59"
Spacer po linie,Walk the Line,2005,"7,59"
Modlitwy za Bobby'ego,Prayers for Bobby,2009,"7,59"
Miłość,,2012,"7,59"
Marley,,2012,"7,59"
Nieustraszony,Huo Yuan Jia,2006,"7,59"
Snajper,American Sniper,2014,"7,58"
Antwone Fisher,,2002,"7,57"
Danton,,1982,"7,57"
Zabawna dziewczyna,Funny Girl,1968,"7,57"
Kwiat granatu,Sayat Nova,1968,"7,56"
Marlon Brando o sobie,Listen to Me Marlon,2015,"7,56"
Teoria wszystkiego,The Theory of Everything,2014,"7,56"
Korczak,,1990,"7,55"
The Doors,,1991,"7,54"
Gandhi,,1982,"7,54"
Gia,,1998,"7,52"
Honor generała,,2007,"7,52"
Zagadka Kaspara Hausera,Jeder für sich und Gott gegen alle,1974,"7,52"
"Aguirre, gniew boży","Aguirre, der Zorn Gottes",1972,"7,52"
Oto jest głowa zdrajcy,A Man for All Seasons,1966,"7,51"
Zniewolony. 12 Years a Slave,12 Years a Slave,2013,"7,51"
Frida,,2002,"7,51"
Kleopatra,Cleopatra,1963,"7,51"
Cadillac Records,,2008,"7,50"
Diabły,The Devils,1971,"7,50"
Mr. Gaga,,2015,"7,49"
Chwilami życie bywa znośne,,2009,"7,49"
Dangal,,2016,"7,49"
Tina,What's Love Got to Do with It,1993,"7,49"
Zawód gangster,Rise of the Footsoldier,2007,"7,49"
Niczego nie żałuję - Edith Piaf,La môme,2007,"7,48"
