polish_title,original_title,year,rating
Klaus,,2019,"8,13"
To wspaniałe życie,It's a Wonderful Life,1946,"8,10"
Garsoniera,The Apartment,1960,"7,76"
Żółty szalik,,2000,"7,68"
Miasteczko Halloween,The Nightmare Before Christmas,1993,"7,65"
To właśnie miłość,Love Actually,2003,"7,56"
Pingwiny z Madagaskaru: Misja Świąteczna,The Madagascar Penguins in a Christmas Caper,2005,"7,55"
Szklana pułapka,Die Hard,1988,"7,53"
Opowieść wigilijna Myszki Miki,Mickey's Christmas Carol,1983,"7,53"
Rodzice chrzestni z Tokio,Tokyo Godfathers,2003,"7,49"
Strażnicy marzeń,Rise of the Guardians,2012,"7,49"
Cud na 34 ulicy,Miracle on 34th Street,1947,"7,35"
Boże Narodzenie,Joyeux Noël,2005,"7,34"
The Trailer Park Boys Christmas Special,,2004,"7,33"
Cicha noc,,2017,"7,32"
"W krzywym zwierciadle: Witaj, Święty Mikołaju",Christmas Vacation,1989,"7,25"
Moja noc u Maud,Ma nuit chez Maud,1969,"7,25"
Kubuś Puchatek: Puchatkowego Nowego Roku,Winnie The Pooh: A Very Merry Pooh Year,2002,"7,22"
Holiday,The Holiday,2006,"7,19"
Nieoczekiwana zmiana miejsc,Trading Places,1983,"7,19"
Opowieść wigilijna,A Christmas Carol,1999,"7,17"
Mickey: Bajkowe Święta,Mickey's Once Upon a Christmas,1999,"7,17"
Family Man,The Family Man,2000,"7,12"
Kevin sam w domu,Home Alone,1990,"7,12"
Opowieść wigilijna,A Christmas Carol,2009,"7,05"
Dziadek do orzechów,The Nutcracker Prince,1990,"7,03"
Wszyscy mają się dobrze,Everybody's Fine,2009,"7,03"
Opowieść wigilijna Muppetów,The Muppet Christmas Carol,1992,"7,02"
Piękna i Bestia: Zaczarowane Święta,Beauty and the Beast: The Enchanted Christmas,1997,"6,98"
Cud na 34. ulicy,Miracle on 34th Street,1994,"6,98"
Obywatel John Doe,Meet John Doe,1941,"6,96"
Opowieść wigilijna Czarnej Żmii,Blackadder's Christmas Carol,1988,"6,96"
Kubuś Puchatek: Czas prezentów,Winnie the Pooh: Seasons of Giving,1999,"6,95"
Ostatnie wakacje,Last Holiday,2006,"6,95"
Opowieść wigilijna,Scrooge,1970,"6,94"
Rudolf czerwononosy Renifer,Rudolph the Red-Nosed Reindeer: The Movie,1998,"6,93"
Grinch: Świąt nie będzie,How the Grinch Stole Christmas!,1966,"6,90"
Listy do M.,,2011,"6,88"
Go,,1999,"6,88"
Życzenie Annabelli,Annabelle's Wish,1997,"6,87"
Bałwanek,The Snowman,1982,"6,86"
Kiss Kiss Bang Bang,,2005,"6,86"
"Wszystko, na co niebo zezwala",All That Heaven Allows,1955,"6,84"
Świąteczna historia,The Christmas Shoes,2002,"6,83"
Cudowne święta Jonatana,The Christmas Miracle of Jonathan Toomey,2007,"6,81"
Igraszki losu,Serendipity,2001,"6,81"
Kevin sam w Nowym Jorku,Home Alone 2: Lost in New York,1992,"6,80"
Opowieść wigilijna,A Christmas Carol,1984,"6,78"
"Ja cię kocham, a ty śpisz",While You Were Sleeping,1995,"6,75"
Opowieść wigilijna Flintstonów,A Flintstones Christmas Carol,1994,"6,74"
Jak wytresować smoka: Święta w domu,How to Train Your Dragon Homecoming,2019,"6,74"
Narodzenie,The Nativity Story,2006,"6,73"
Idąc moją drogą,Going My Way,1944,"6,71"
Artur ratuje Gwiazdkę,Arthur Christmas,2011,"6,69"
Opowieść wigilijna,Christmas Carol: The Movie,2001,"6,68"
Barbie w Wigilijnej Opowieści,Barbie in a Christmas Carol,2008,"6,65"
Kolejny piątek,Friday After Next,2002,"6,64"
Grinch,The Grinch,2018,"6,64"
Kronika świąteczna,The Christmas Chronicles,2018,"6,64"
Mandarynka,Tangerine,2015,"6,62"
Mickey: Bardziej Bajkowe Święta,Mickey's Twice Upon a Christmas,2004,"6,62"
Ekspres polarny,The Polar Express,2004,"6,61"
"Człowiek, który wynalazł Boże Narodzenie",The Man Who Invented Christmas,2017,"6,61"
Epoka lodowcowa: Mamucia gwiazdka,Ice Age: A Mammoth Christmas,2011,"6,60"
Białe Boże Narodzenie,White Christmas,1954,"6,59"
Wigilijny show,Scrooged,1988,"6,58"
Dziewczynka z zapałkami,The Little Matchgirl,2006,"6,57"
Pierwsza gwiazdka,The Star,2017,"6,57"
Święty Mikołaj,Joulutarina,2007,"6,57"
Pieskie święta,An All Dogs Christmas Carol,1998,"6,56"
Kraina Lodu. Przygoda Olafa,Olaf's Frozen Adventure,2017,"6,53"
Zły Mikołaj,Bad Santa,2003,"6,52"
Zastępstwo z niespodzianką,Christmas in Boston,2005,"6,51"
Prezent pod choinkę,A Christmas Story,1983,"6,50"
Czekając na cud,Noel,2004,"6,49"
Żurek,,2003,"6,49"
Dlaczego on?,Why Him?,2016,"6,49"
Pada Shrek,Shrek the Halls,2007,"6,48"
Świąteczne życzenie Angeli,Angela's Christmas Wish,2020,"6,46"
Magiczna Gwiazdka Mikiego: Zasypani w Café Myszka,Mickey's Magical Christmas: Snowed In at the House of Mouse,2001,"6,46"
Świąteczne psiaki,Santa Buddies,2009,"6,46"
Czas na przyjaźń,The Best Man Holiday,2013,"6,46"
Gwiazdka z Holly,Christmas with Holly,2012,"6,45"
Chłopiec zwany Gwiazdką,A Boy Called Christmas,2021,"6,45"
Rodzinny dom wariatów,The Family Stone,2005,"6,44"
1800 gramów,,2019,"6,44"
Święta Angeli,Angela's Christmas,2017,"6,43"
Drzewo,The Tree,2010,"6,42"
Baranek Shaun: Odlotowe święta,Shaun the Sheep: The Flight Before Christmas,2021,"6,42"
Dawid i Elfy,,2021,"6,42"
Święta Thomasa Kinkade`a,Christmas Cottage,2008,"6,41"
Tom i Jerry: Dziadek do orzechów,Tom and Jerry: A Nutcracker Tale,2007,"6,41"
Planeta Singli 2,,2018,"6,40"
Harold i Kumar: Spalone święta,A Very Harold & Kumar 3D Christmas,2011,"6,38"
Smerfy: Opowieść wigilijna,The Smurfs: A Christmas Carol,2011,"6,37"
Christmas in Love,,2004,"6,36"
"Święta, święta i... znowu święta",Tudo Bem No Natal que Vem,2020,"6,35"
Osiem szalonych nocy,Eight Crazy Nights,2002,"6,35"
Te święta,This Christmas,2007,"6,35"
Lew w zimie,The Lion in Winter,1968,"6,33"
