polish_title,original_title,year,rating
Nietykalni,Intouchables,2011,"8,65"
Forrest Gump,,1994,"8,54"
Życie jest piękne,La vita è bella,1997,"8,37"
Green Book,,2018,"8,21"
Piętro wyżej,,1937,"8,12"
Światła wielkiego miasta,City Lights,1931,"8,06"
Brzdąc,The Kid,1921,"8,04"
Dzisiejsze czasy,Modern Times,1936,"8,01"
Skeczu z papugą nie będzie,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,"8,00"
Rain Man,,1988,"7,99"
Monty Python i Święty Graal,Monty Python and the Holy Grail,1975,"7,98"
Dyktator,The Great Dictator,1940,"7,94"
Monty Python's Fliegender Zirkus,,1971,"7,94"
Zwierzogród,Zootopia,2016,"7,92"
Czas Cyganów,Dom za vješanje,1988,"7,91"
Mary i Max,Mary and Max,2009,"7,91"
"Pół żartem, pół serio",Some Like It Hot,1959,"7,91"
Deszczowa piosenka,Singin' in the Rain,1952,"7,90"
Noc na Ziemi,Night on Earth,1991,"7,90"
Żywot Briana,Life of Brian,1979,"7,90"
Sens życia wg Monty Pythona,The Meaning of Life,1983,"7,89"
Underground,,1995,"7,86"
Jak rozpętałem drugą wojnę światową,,1969,"7,86"
A teraz coś z zupełnie innej beczki,And Now for Something Completely Different,1971,"7,84"
Monty Python w Hollywood,Monty Python Live at the Hollywood Bowl,1982,"7,83"
Ich noce,It Happened One Night,1934,"7,81"
Chłopaki nie płaczą,,2000,"7,81"
Szatańskie tango,Sátántangó,1994,"7,81"
Amarcord,,1973,"7,80"
Shrek,,2001,"7,80"
Co w duszy gra,Soul,2020,"7,79"
Kowboj Bebop: Pukając do nieba bram,Cowboy Bebop: Tengoku no Tobira,2001,"7,79"
Kawa i papierosy III,Coffee and Cigarettes III,1995,"7,78"
Generał,The General,1926,"7,78"
Miś,,1980,"7,78"
Lekarstwo na miłość,,1966,"7,77"
Dzień świra,,2002,"7,77"
Grand Budapest Hotel,The Grand Budapest Hotel,2014,"7,77"
Seksmisja,,1983,"7,76"
Gorączka złota,The Gold Rush,1925,"7,76"
Zelig,,1983,"7,76"
Na noże,Knives Out,2019,"7,76"
Garsoniera,The Apartment,1960,"7,76"
Wielka włóczęga,La grande vadrouille,1966,"7,75"
Był sobie pies,A Dog's Purpose,2017,"7,75"
Cudowny chłopak,Wonder,2017,"7,75"
Paperman,,2012,"7,74"
W głowie się nie mieści,Inside Out,2015,"7,74"
Wyspa psów,Isle of Dogs,2018,"7,74"
Gangsterzy i filantropi,,1962,"7,73"
Kiler,,1997,"7,73"
Wielkie piękno,La grande bellezza,2013,"7,73"
Jutro będziemy szczęśliwi,Demain tout commence,2016,"7,72"
Miłość i śmierć,Love and Death,1975,"7,72"
Jojo Rabbit,,2019,"7,72"
Wielka Szóstka,Big Hero 6,2014,"7,71"
Dym,Smoke,1995,"7,69"
Zaburzenie częściowe,Partly Cloudy,2009,"7,69"
Dobrze się kłamie w miłym towarzystwie,Perfetti sconosciuti,2016,"7,67"
Smażone zielone pomidory,Fried Green Tomatoes,1991,"7,66"
Benny i Joon,Benny & Joon,1993,"7,66"
Pociąg życia,Train de vie,1998,"7,66"
The Beatles,A Hard Day's Night,1964,"7,65"
Ziemia niczyja,No Man's Land,2001,"7,65"
Harold i Maude,Harold and Maude,1971,"7,64"
Oko w oko z życiem,Buffalo '66,1998,"7,64"
Rocky Horror Picture Show,The Rocky Horror Picture Show,1975,"7,64"
Złoto dla zuchwałych,Kelly's Heroes,1970,"7,63"
Dyskretny urok burżuazji,Le charme discret de la bourgeoisie,1972,"7,63"
Kawa i papierosy,Coffee and Cigarettes,1986,"7,63"
American Beauty,,1999,"7,62"
Billy Elliot,,2000,"7,62"
Cyrk,The Circus,1928,"7,62"
Mężczyzna imieniem Ove,En man som heter Ove,2015,"7,62"
Wyjście przez sklep z pamiątkami,Exit Through the Gift Shop,2010,"7,62"
Zaplątani,Tangled,2010,"7,61"
The Umbilical Brothers: Speedmouse - Live from the Sydney Opera House,,2003,"7,61"
Little Boy,,2015,"7,61"
Patch Adams,,1998,"7,61"
Żona dla zuchwałych,Dilwale Dulhania Le Jayenge,1995,"7,60"
Sklep na rogu,The Shop Around the Corner,1940,"7,60"
Choć goni nas czas,The Bucket List,2007,"7,60"
Zezowate szczęście,,1960,"7,60"
Barton Fink,,1991,"7,60"
Mroczny przedmiot pożądania,Cet obscur objet du désir,1977,"7,60"
Opowieści o zwyczajnym szaleństwie,Příběhy obyčejného šílenství,2005,"7,59"
Epoka lodowcowa,Ice Age,2002,"7,59"
Życie jest cudem,Život je čudo,2004,"7,59"
Czas na miłość,About Time,2013,"7,59"
12 prac Asteriksa,Les douze travaux d'Astérix,1976,"7,59"
Mania wielkości,La folie des grandeurs,1971,"7,59"
Papierowy księżyc,Paper Moon,1973,"7,58"
Blues Brothers,The Blues Brothers,1980,"7,58"
Trzej idioci,3 Idiots,2009,"7,58"
Wymiar dialogu,Možnosti dialogu,1982,"7,58"
Deadpool 2,,2018,"7,58"
Sing 2,,2021,"7,58"
Brazil,,1985,"7,58"
Szarada,Charade,1963,"7,58"
Czułe słówka,Terms of Endearment,1983,"7,58"
