polish_title,original_title,year,rating
Joker,,2019,"8,32"
Siedem,Se7en,1995,"8,30"
Leon zawodowiec,Léon,1994,"8,14"
Świadek oskarżenia,Witness for the Prosecution,1957,"8,14"
Infiltracja,The Departed,2006,"8,01"
Contratiempo. Niewidzialny gość,Contratiempo,2016,"7,97"
Twój Vincent,Loving Vincent,2017,"7,93"
Casablanca,,1942,"7,87"
M jak morderstwo,Dial M for Murder,1954,"7,86"
Chinatown,,1974,"7,85"
Blow,,2001,"7,80"
Chungking Express,Chung hing sam lam,1994,"7,80"
American Gangster,,2007,"7,79"
Na noże,Knives Out,2019,"7,76"
Podejrzani,The Usual Suspects,1995,"7,75"
Więzy krwi,Bound by Honor,1993,"7,74"
Imię róży,Der Name der Rose,1986,"7,74"
Sherlock Holmes,,2009,"7,73"
Bogowie ulicy,End of Watch,2012,"7,72"
Niebo i piekło,Tengoku to jigoku,1963,"7,72"
Trzeci człowiek,The Third Man,1949,"7,71"
JFK,,1991,"7,70"
Brudny Harry,Dirty Harry,1971,"7,70"
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,2011,"7,69"
Missisipi w ogniu,Mississippi Burning,1988,"7,68"
Aniołowie o brudnych twarzach,Angels with Dirty Faces,1938,"7,68"
Serpico,,1973,"7,67"
Tajemnice Los Angeles,L.A. Confidential,1997,"7,67"
Obiecująca. Młoda. Kobieta.,Promising Young Woman,2020,"7,65"
Purpurowe skrzypce,Le violon rouge,1998,"7,64"
400 batów,Les quatre cents coups,1959,"7,63"
21 gramów,21 Grams,2003,"7,63"
Dziura,Le trou,1960,"7,62"
Ill Manors,,2012,"7,62"
Sokół maltański,The Maltese Falcon,1941,"7,62"
Dżentelmeni,The Gentlemen,2019,"7,62"
Siła magnum,Magnum Force,1973,"7,62"
Czysta formalność,Una pura formalità,1994,"7,61"
"Millennium: Mężczyźni, którzy nienawidzą kobiet",Män som hatar kvinnor,2009,"7,61"
Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows,2011,"7,60"
...I sprawiedliwość dla wszystkich,...And Justice for All,1979,"7,60"
Sędzia,The Judge,2014,"7,60"
Upadłe anioły,Duo luo tian shi,1995,"7,60"
Dzień próby,Training Day,2001,"7,60"
Infernal Affairs: Piekielna gra,Mou gaan dou,2002,"7,59"
Champion 3: Odkupienie,Undisputed III: Redemption,2010,"7,59"
Skazaniec,Felon,2008,"7,57"
Windą na szafot,Ascenseur pour l'échafaud,1958,"7,57"
Memento,,2000,"7,57"
Przed egzekucją,Dead Man Walking,1995,"7,56"
Dzikość serca,Wild at Heart,1990,"7,55"
Zagadka zbrodni,Sal-in-sui Choo-eok,2003,"7,54"
Zagubiona autostrada,Lost Highway,1997,"7,53"
Samuraj,Le Samouraï,1967,"7,52"
Tam i z powrotem,,2001,"7,52"
Champion 2,Undisputed II: Last Man Standing,2006,"7,52"
Do utraty tchu,À bout de souffle,1960,"7,51"
Prawdziwy romans,True Romance,1993,"7,51"
Dolores,Dolores Claiborne,1995,"7,49"
Z zimną krwią,In Cold Blood,1967,"7,49"
Zawód gangster,Rise of the Footsoldier,2007,"7,49"
Negocjator,The Negotiator,1998,"7,48"
"Millennium: Zamek z piasku, który runął",Luftslottet som sprängdes,2009,"7,48"
Prawnik z Lincolna,The Lincoln Lawyer,2011,"7,47"
Angielska robota,The Bank Job,2008,"7,47"
Kolekcjoner kości,The Bone Collector,1999,"7,47"
"Człowiek, którego nie było",The Man Who Wasn't There,2001,"7,47"
Burzliwe lata dwudzieste,The Roaring Twenties,1939,"7,46"
Wolny strzelec,Nightcrawler,2014,"7,46"
Wśród nocnej ciszy,,1978,"7,45"
Utalentowany pan Ripley,The Talented Mr. Ripley,1999,"7,45"
Widmo,Les Diaboliques,1955,"7,45"
Sin City - Miasto grzechu,Sin City,2005,"7,43"
Bullitt,,1968,"7,41"
25. godzina,25th Hour,2002,"7,41"
Trójkąt Bermudzki,,1987,"7,41"
Dla niej wszystko,The Next Three Days,2010,"7,41"
Iluzja,Now You See Me,2013,"7,40"
Dom zły,,2009,"7,39"
Zaklinacz deszczu,The Rainmaker,1997,"7,38"
Sin-se-gae,,2013,"7,38"
Sznur,Rope,1948,"7,38"
"Wróg publiczny numer jeden, część 1",L'Instinct de mort,2008,"7,38"
Bez tchu,Ddong-pa-ri,2008,"7,37"
Bullet,,1996,"7,37"
Wind River. Na przeklętej ziemi,Wind River,2017,"7,37"
Zabójstwo,The Killing,1956,"7,37"
Jackie Brown,,1997,"7,37"
Chicago,,2002,"7,37"
Nagłe zderzenie,Sudden Impact,1983,"7,37"
Śledząc,Following,1998,"7,37"
Amerykańska zbrodnia,An American Crime,2007,"7,36"
W kręgu zła,Le cercle rouge,1970,"7,36"
Ujrzałem diabła,Ak-ma-leul Bo-ass-da,2010,"7,36"
Hazardziści,Rounders,1998,"7,35"
Teoria chaosu,Chaos,2005,"7,33"
Fałszerze,Die Fälscher,2007,"7,33"
Zagrożenie dla społeczeństwa,Menace II Society,1993,"7,33"
Rock'N'Rolla,RocknRolla,2008,"7,33"
Doktor Mabuse,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,"7,33"
