polish_title,original_title,year,rating
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,"8,38"
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,2002,"8,30"
Kimi no Na wa.,,2016,"8,22"
To wspaniałe życie,It's a Wonderful Life,1946,"8,10"
Spirited Away: W krainie Bogów,Sen to Chihiro no Kamikakushi,2001,"8,08"
Sekrety morza,Song of the Sea,2014,"8,06"
Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,"8,00"
Księżniczka Mononoke,Mononoke-hime,1997,"8,00"
Rękopis znaleziony w Saragossie,,1964,"7,96"
Ruchomy zamek Hauru,Hauru no ugoku shiro,2004,"7,96"
Czas Cyganów,Dom za vješanje,1988,"7,91"
Hotarubi no Mori e,,2011,"7,90"
The Maker,,2011,"7,86"
Jak wytresować smoka,How to Train Your Dragon,2010,"7,86"
Niebo nad Berlinem,Der Himmel über Berlin,1987,"7,85"
"Shin Seiki Evangelion Gekijōban: The End of Evangelion: Air/Magokoro o, Kimi ni",,1997,"7,81"
Wilcze dzieci,Ōkami Kodomo no Ame to Yuki,2012,"7,80"
Nausicaä z Doliny Wiatru,Kaze no Tani no Nausicaä,1984,"7,78"
Iluzjonista,The Illusionist,2006,"7,77"
Thor: Ragnarok,,2017,"7,76"
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,2006,"7,75"
Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,2011,"7,74"
Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"7,73"
Edward Nożycoręki,Edward Scissorhands,1990,"7,72"
Jak wytresować smoka 2,How to Train Your Dragon 2,2014,"7,71"
Sztuka spadania,,2004,"7,70"
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,2007,"7,70"
Księżniczka Kaguya,Kaguyahime no monogatari,2013,"7,69"
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,2008,"7,69"
Cały ten zgiełk,All That Jazz,1979,"7,68"
Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,2004,"7,66"
Laputa – podniebny zamek,Tenkū no Shiro Laputa,1986,"7,66"
Duża ryba,Big Fish,2003,"7,65"
Joe Black,Meet Joe Black,1998,"7,65"
Furman śmierci,Körkarlen,1921,"7,65"
Miasteczko Halloween,The Nightmare Before Christmas,1993,"7,65"
Mały Książę,Le Petit Prince,2015,"7,63"
Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,2012,"7,63"
Zmęczona śmierć,Der müde Tod,1921,"7,59"
Między piekłem a niebem,What Dreams May Come,1998,"7,59"
Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,2013,"7,59"
Czas na miłość,About Time,2013,"7,59"
Księga życia,Book of Life,2014,"7,58"
Wymiar dialogu,Možnosti dialogu,1982,"7,58"
Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,2005,"7,57"
Magia uczuć,The Fall,2006,"7,57"
"Kwaidan, czyli opowieści niesamowite",Kaidan,1964,"7,56"
Arizona Dream,,1993,"7,55"
Faust,Faust - Eine deutsche Volkssage,1926,"7,55"
Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,2010,"7,54"
Sieci popołudnia,Meshes of the Afternoon,1943,"7,53"
Bakemono no Ko,,2015,"7,53"
Anioł zagłady,El Angel exterminador,1962,"7,53"
Jak wytresować smoka 3,How to Train Your Dragon: The Hidden World,2019,"7,53"
South Park: Imaginationland,,2008,"7,52"
Tajemniczy świat Arrietty,Karigurashi no Arrietty,2010,"7,51"
Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince,2009,"7,51"
Opowieści księżycowe,Ugetsu monogatari,1953,"7,50"
Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,2001,"7,50"
Miasto aniołów,City of Angels,1998,"7,50"
La Luna,,2011,"7,49"
Strażnicy marzeń,Rise of the Guardians,2012,"7,49"
Psim tropem do domu,Fluke,1995,"7,48"
Koralina i tajemnicze drzwi,Coraline,2009,"7,48"
Kubo i dwie struny,Kubo and the Two Strings,2016,"7,48"
Kimetsu no Yaiba: Mugen Ressha-Hen,,2020,"7,46"
Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix,2007,"7,45"
Podniebna poczta Kiki,Majo no Takkyūbin,1989,"7,45"
Berserk Ōgon Jidai-hen III: Kōrin,,2013,"7,42"
Dzielna pani Brisby,The Secret of NIMH,1982,"7,42"
Wiedźmikołaj,Hogfather,2006,"7,42"
Miasteczko Pleasantville,Pleasantville,1998,"7,41"
Harry Potter i Komnata Tajemnic,Harry Potter and the Chamber of Secrets,2002,"7,41"
Neuk-dae-so-nyeon,,2012,"7,41"
Coś z Alicji,Něco z Alenky,1988,"7,40"
"Ciemność, światło, ciemność",Tma/Světlo/Tma,1989,"7,40"
Atlantyda - zaginiony ląd,Atlantis: The Lost Empire,2001,"7,40"
Harvey,,1950,"7,40"
Sny,Yume,1990,"7,39"
Siedem minut po północy,A Monster Calls,2016,"7,39"
Toy Story 4,,2019,"7,38"
Przygody barona Munchausena,The Adventures of Baron Munchausen,1988,"7,37"
Sintel,,2010,"7,37"
Cirque du Soleil: Dalekie światy,Cirque du Soleil: Worlds Away,2012,"7,37"
Miasto zaginionych dzieci,La Cité des enfants perdus,1995,"7,37"
Piraci z Karaibów: Na nieznanych wodach,Pirates of the Caribbean: On Stranger Tides,2011,"7,36"
Mała księżniczka,A Little Princess,1995,"7,36"
Tajemniczy ogród,The Secret Garden,1993,"7,36"
Gekijōban Hagane no Renkinjutsushi - Shanbara wo Yuku Mono,,2005,"7,36"
Constantine,,2005,"7,35"
Przejrzeć Harry'ego,Deconstructing Harry,1997,"7,35"
Berserk Ōgon Jidai-hen II: Doldrey Kōryaku,,2012,"7,35"
Cud na 34 ulicy,Miracle on 34th Street,1947,"7,35"
Sekret,Paheli,2005,"7,35"
Czarodziejka z księżyca - Serca w lodzie,Bishōjo Senshi Sailor Moon S: The Movie,1994,"7,34"
Czarnoksiężnik z Oz,The Wizard of Oz,1939,"7,34"
Piekło pocztowe,Going Postal,2010,"7,34"
Ponyo,Gake no ue no Ponyo,2008,"7,34"
Labirynt fauna,El laberinto del fauno,2006,"7,34"
Death Note: R - Genshisuru Kami,,2007,"7,34"
