polish_title,original_title,year,rating
"Obcy - 8. pasażer ""Nostromo""",Alien,1979,"7,85"
Palacz zwłok,Spalovač mrtvol,1968,"7,84"
Lśnienie,The Shining,1980,"7,81"
Gabinet doktora Caligari,Das Cabinet des Dr. Caligari,1920,"7,80"
Thriller,,1983,"7,68"
Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,1994,"7,68"
Nosferatu - symfonia grozy,"Nosferatu, eine Symphonie des Grauens",1922,"7,67"
Furman śmierci,Körkarlen,1921,"7,65"
Dziecko Rosemary,Rosemary's Baby,1968,"7,65"
Vampire Hunter D: Żądza krwi,Vampire Hunter D,2000,"7,62"
Obcy - decydujące starcie,Aliens,1986,"7,60"
Ninja Scroll,Jūbee Ninpūchō,1993,"7,58"
Nosferatu wampir,Nosferatu: Phantom der Nacht,1979,"7,58"
Czarownice,Häxan,1922,"7,56"
"Kwaidan, czyli opowieści niesamowite",Kaidan,1964,"7,56"
Egzorcysta,The Exorcist,1973,"7,52"
Młody Frankenstein,Young Frankenstein,1974,"7,52"
Dracula,,1992,"7,52"
Jestem legendą,I Am Legend,2007,"7,51"
Coś,The Thing,1982,"7,50"
Dziwolągi,Freaks,1932,"7,49"
Lighthouse,The Lighthouse,2019,"7,48"
Nieustraszeni pogromcy wampirów,Dance of the Vampires,1967,"7,45"
Paprika,,2006,"7,45"
Omen,The Omen,1976,"7,44"
Godzina wilka,Vargtimmen,1968,"7,42"
Jeździec bez głowy,Sleepy Hollow,1999,"7,39"
Obecność,The Conjuring,2013,"7,39"
Duchy,Ghosts,1997,"7,38"
Kobieta-diabeł,Onibaba,1964,"7,38"
Frankenstein,,1994,"7,36"
The Backwater Gospel,,2011,"7,31"
Opętanie,Possession,1981,"7,28"
Szaleni,Šílení,2005,"7,27"
Obcy 3,Alien³,1992,"7,24"
Underworld,,2003,"7,22"
Tylko kochankowie przeżyją,Only Lovers Left Alive,2013,"7,22"
Kara no Kyōkai: Satsujin Kōsatsu (Go),,2009,"7,22"
Dziewiąte wrota,The Ninth Gate,1999,"7,22"
Kara no Kyōkai: Tsūkaku Zanryū,,2008,"7,21"
Co robimy w ukryciu,What We Do in the Shadows,2014,"7,21"
Dracula,,1931,"7,18"
Koszmar z ulicy Wiązów,A Nightmare on Elm Street,1984,"7,18"
Zabij to i wyjedź z tego miasta,,2019,"7,17"
Frankenstein,,1931,"7,17"
Armia ciemności,Army of Darkness,1992,"7,16"
Twarzą w twarz,Ansikte mot ansikte,1976,"7,16"
Od zmierzchu do świtu,From Dusk Till Dawn,1996,"7,16"
Underworld: Evolution,,2006,"7,16"
Martwe zło 2,Evil Dead II,1987,"7,15"
Doktor Jekyll i pan Hyde,Dr. Jekyll and Mr. Hyde,1931,"7,15"
Waleria i tydzień cudów,Valerie a týden divů,1970,"7,12"
Shutter - Widmo,Shutter,2004,"7,10"
Niewidzialny człowiek,The Invisible Man,1933,"7,10"
Dzikie kwiaty,Kytice,2000,"7,10"
Zew Cthulhu,The Call of Cthulhu,2005,"7,10"
Underworld: Bunt Lykanów,Underworld: Rise of the Lycans,2009,"7,10"
Obecność 2,The Conjuring 2,2016,"7,10"
Noc żywych trupów,Night of the Living Dead,1968,"7,09"
Elfen Lied Special,,2005,"7,09"
Vampire Hunter D,Kyūketsuki Hunter D,1985,"7,08"
Upiór w operze,The Phantom of the Opera,1990,"7,08"
Towarzystwo wilków,The Company of Wolves,1984,"7,07"
Upiór w operze,The Phantom of the Opera,1925,"7,06"
Zagadka nieśmiertelności,The Hunger,1983,"7,06"
Mucha,The Fly,1986,"7,05"
Pies Baskerville'ów,The Hound of the Baskervilles,1939,"7,05"
Death Note: Ostatnie imię,Death Note: The Last Name,2006,"7,05"
Blade - Wieczny łowca,Blade,1998,"7,04"
Cargo,,2013,"7,04"
Obcy: Przebudzenie,Alien: Resurrection,1997,"7,04"
Sebastian's Voodoo,,2008,"7,03"
Uciekaj!,Get Out,2017,"7,02"
Resident Evil,,2002,"7,01"
Stygmaty,Stigmata,1999,"7,01"
Nawiedzony dom,The Haunting,1963,"7,01"
Narzeczona Frankensteina,Bride of Frankenstein,1935,"6,99"
Egzorcyzmy Emily Rose,The Exorcism of Emily Rose,2005,"6,99"
Koszmar z ulicy Wiązów 3: Wojownicy snów,A Nightmare On Elm Street 3: Dream Warriors,1987,"6,99"
Mieszkanie,Byt,1968,"6,97"
Pogromcy duchów,Ghost Busters,1984,"6,97"
Pies Baskerville'ów,The Hound of the Baskervilles,1988,"6,97"
King Kong,,1933,"6,97"
W kleszczach lęku,The Innocents,1961,"6,97"
W paszczy szaleństwa,In the Mouth of Madness,1994,"6,96"
Still Life,,2005,"6,96"
The Ring - Krąg,Ring,1998,"6,95"
The Horribly Slow Murderer with the Extremely Inefficient Weapon,,2008,"6,95"
Odgłosy,Suspiria,1977,"6,95"
Medium,,1985,"6,94"
Powrót żywych trupów,The Return of the Living Dead,1985,"6,94"
Blade: Wieczny łowca II,Blade II,2002,"6,94"
Duch,Poltergeist,1982,"6,94"
Podglądacz,Peeping Tom,1960,"6,93"
Jeździec,Equus,1977,"6,93"
Straceni chłopcy,The Lost Boys,1987,"6,93"
Kult,The Wicker Man,1973,"6,92"
Omen II,Damien: Omen II,1978,"6,92"
O-ssak-han Yeon-ae,,2011,"6,92"
Wampir,Vampyr - Der Traum des Allan Grey,1932,"6,91"
