polish_title,original_title,year,rating
Szkoła uczuć,A Walk to Remember,2002,"7,47"
Klub winowajców,The Breakfast Club,1985,"7,46"
Podróż za jeden uśmiech,,1972,"7,44"
Trzy metry nad niebem,Tres metros sobre el cielo,2010,"7,23"
Następcy 3,Descendants 3,2019,"7,12"
Zakochana złośnica,10 Things I Hate About You,1999,"7,10"
Nie będę cię kochać,,1973,"7,08"
Wolny dzień Ferrisa Buellera,Ferris Bueller's Day Off,1986,"7,07"
"O dwóch takich, co poszli w miasto",Harold & Kumar Go to White Castle,2004,"7,05"
Kolorowe pończochy,,1960,"7,04"
Szatan z 7-ej klasy,,1960,"6,99"
Trzy metry nad niebem,Tre metri sopra il cielo,2004,"6,98"
Amerykańskie graffiti,American Graffiti,1973,"6,95"
Następcy 2,Descendants 2,2017,"6,93"
Dobosz,Drumline,2002,"6,91"
Motyle,,1972,"6,90"
Małe dramaty,,1958,"6,87"
Wyspa złoczyńców,,1965,"6,86"
"Do wszystkich chłopców, których kochałam",To All the Boys I've Loved Before,2018,"6,83"
Paragon gola,,1969,"6,80"
Godzina pąsowej róży,,1963,"6,80"
Dziewczyna i chłopak,,1980,"6,80"
Bułeczka,,1973,"6,77"
Uczniowska balanga,Dazed and Confused,1993,"6,75"
David Copperfield,,1999,"6,74"
Mniej niż zero,Less Than Zero,1987,"6,74"
Szkolny terror,Odd Girl Out,2005,"6,74"
Szansa na sukces,Raise Your Voice,2004,"6,73"
Cloud 9,,2014,"6,71"
Wojna guzików,War of the Buttons,1994,"6,70"
Do góry nogami,,1982,"6,70"
Koniec wakacji,,1974,"6,65"
Następcy,Descendants,2015,"6,63"
Janka,,1990,"6,61"
Szaleństwa panny Ewy,,1984,"6,59"
Some Kind of Wonderful,,1987,"6,57"
Sydney i siedmiu nieudaczników,Sydney White,2007,"6,57"
Stowarzyszenie Wędrujących Dżinsów 2,The Sisterhood of the Traveling Pants 2,2008,"6,56"
Stowarzyszenie Wędrujących Dżinsów,The Sisterhood of the Traveling Pants,2005,"6,56"
Rodzina Leśniewskich,,1980,"6,53"
Jezioro osobliwości,,1972,"6,52"
Pippi Långstrump,,1969,"6,51"
Cudowne dziecko,,1986,"6,50"
Pierścień księżnej Anny,,1970,"6,47"
Szesnaście świeczek,Sixteen Candles,1984,"6,46"
Ona to on,She's the Man,2006,"6,44"
Pippi w kraju Taka-Tuka,Pippi Långstrump på de sju haven,1970,"6,43"
Spectacular!,,2009,"6,34"
Ognisty podmuch,Firebreather,2010,"6,33"
Lizzie McGuire,The Lizzie McGuire Movie,2003,"6,30"
Miłość i furia,Vanvittig forelsket,2009,"6,29"
Mów mi Rockefeller,,1990,"6,28"
Karino,,1976,"6,27"
Ale czad!,Fired Up!,2009,"6,25"
Beztroskie lata w Ridgemont High,Fast Times at Ridgemont High,1982,"6,25"
Spadająca gwiazda,Wish Upon a Star,1996,"6,24"
17 Again,,2009,"6,23"
Zamiana,The Swap,2016,"6,19"
The Kissing Booth,,2018,"6,19"
Wymarzony luzer,Geek Charming,2011,"6,18"
Kłamczucha,,1981,"6,15"
Łapcie tę dziewczynę,Catch That Kid,2004,"6,14"
Bunt FM,Radio Rebel,2012,"6,14"
Angus,,1995,"6,13"
Papierowe miasta,Paper Towns,2015,"6,11"
Nie ma to jak bliźniaki: Film,The Suite Life Movie,2011,"6,06"
Błękitna laguna: Przebudzenie,Blue Lagoon: The Awakening,2012,"6,06"
The Kissing Booth 2,,2020,"5,98"
Mary-Kate i Ashley: Paszport do Paryża,Passport to Paris,1999,"5,92"
Parcie na tarcie,Knallharte Jungs,2002,"5,91"
Czarny młyn,,2021,"5,90"
Strażnicy cnoty,Blockers,2018,"5,89"
ESD,,1986,"5,88"
Pamiętniki Barbie,Barbie Diaries,2006,"5,86"
Dziewczyna z doliny,Valley Girl,1983,"5,84"
Gabriel,,2013,"5,84"
Buddy - pies na gole,Air Bud 3: World Pup,2001,"5,80"
Trup w akademiku,Dead Man on Campus,1998,"5,80"
Do wszystkich chłopców: Zawsze i na zawsze,"To All the Boys: Always and Forever, Lara Jean",2021,"5,78"
Szkoła uwodzenia 3,Cruel Intentions 3,2004,"5,74"
Do wszystkich chłopców: P.S. Wciąż cię kocham,To All the Boys: P.S. I Still Love You,2020,"5,67"
Mrówki w gaciach,Harte Jungs,2000,"5,65"
Za niebieskimi drzwiami,,2016,"5,63"
Goodbye Rockefeller,,1993,"5,60"
Tysiąc razy silniejsza,Tusen gånger starkare,2010,"5,60"
Sierra Burgess jest przegrywem,Sierra Burgess Is a Loser,2018,"5,59"
Wycieczka szkolna,Fin de curso,2005,"5,56"
Studenci,College,2008,"5,56"
Szalony akademik,National Lampoon Presents: Dorm Daze,2003,"5,49"
Hannah Montana. Film,Hannah Montana: The Movie,2009,"5,46"
Kluseczka,Dumplin',2018,"5,46"
Klub Włóczykijów,,2015,"5,37"
Nieprzygotowani: The Movie,,2017,"5,34"
Króliczek,The House Bunny,2008,"5,33"
To my,,2000,"5,27"
Księga strachu,The Haunting Hour: Don't Think About It,2007,"5,23"
The Kissing Booth 3,,2021,"4,92"
Łowca. Ostatnie starcie,,1993,"4,67"
Latające machiny kontra Pan Samochodzik,,1991,"4,56"
Obietnica,,2014,"4,44"
