polish_title,original_title,year,rating
Rzymskie wakacje,Roman Holiday,1953,"7,84"
"Czarny kot, biały kot","Crna mačka, beli mačor",1998,"7,79"
Validation,,2007,"7,71"
Zapomniana melodia,,1938,"7,69"
Coś się dzieje,Kuch Kuch Hota Hai,1998,"7,56"
To właśnie miłość,Love Actually,2003,"7,56"
Filadelfijska opowieść,The Philadelphia Story,1940,"7,56"
Amelia,Le fabuleux destin d'Amélie Poulain,2001,"7,55"
Sabrina,,1954,"7,53"
Niezwykły dzień Panny Pettigrew,Miss Pettigrew Lives for a Day,2008,"7,46"
Wiele hałasu o nic,Much Ado About Nothing,1993,"7,44"
"Love, Rosie",,2014,"7,41"
Pretty Woman,,1990,"7,40"
Terminal,The Terminal,2004,"7,40"
Najgorszy człowiek na świecie,Verdens verste menneske,2021,"7,38"
Drapieżne maleństwo,Bringing Up Baby,1938,"7,32"
Yeob-ki-jeok-in Geu-nyeo,,2001,"7,27"
Kiedy Harry poznał Sally,When Harry Met Sally...,1989,"7,25"
Jak poślubić milionera,How to Marry a Millionaire,1953,"7,25"
Signs,,2008,"7,22"
Holiday,The Holiday,2006,"7,19"
Dzień świstaka,Groundhog Day,1993,"7,19"
Hanazakari no Kimitachi e Special,,2008,"7,19"
Ta Ra Rum Pum,,2007,"7,18"
Zakochani,Hum Tum,2004,"7,16"
Dama za burtą,Overboard,1987,"7,15"
Bridget Jones 3,Bridget Jones's Baby,2016,"7,14"
Kiedy ją spotkałem,Jab We Met,2007,"7,14"
Ninoczka,Ninotchka,1939,"7,13"
Po uszy,Head Over Heels,2012,"7,13"
Sen nocy letniej,A Midsummer Night's Dream,1999,"7,13"
Family Man,The Family Man,2000,"7,12"
Anjaana Anjaani,,2010,"7,12"
Notting Hill,,1999,"7,08"
Jej wysokość Afrodyta,Mighty Aphrodite,1995,"7,07"
O północy w Paryżu,Midnight in Paris,2011,"7,06"
Narzeczony mimo woli,The Proposal,2009,"7,06"
Planeta Singli,,2016,"7,04"
Zupełnie jak miłość,A Lot Like Love,2005,"7,02"
Poskromienie złośnicy,The Taming of the Shrew,2005,"7,00"
Syreny,Mermaids,1990,"6,99"
Barfi!,,2012,"6,99"
Jestem na tak,Yes Man,2008,"6,97"
Dwaj zgryźliwi tetrycy,Grumpy Old Men,1993,"6,97"
Paradise Kiss,,2011,"6,96"
Hitch: Najlepszy doradca przeciętnego faceta,Hitch,2005,"6,95"
Dziennik Bridget Jones,Bridget Jones's Diary,2001,"6,94"
One-Minute Time Machine,,2014,"6,94"
Eo-lin-sin-boo,,2004,"6,93"
Mistrz blefu,Bluffmaster,2005,"6,93"
Orzeł kontra rekin,Eagle vs Shark,2006,"6,92"
Gdzie jest Fred?,Wo ist Fred?,2006,"6,92"
Brzydka prawda,The Ugly Truth,2009,"6,92"
Wieczne smoki,Fei Lung Mang Jeung,1988,"6,91"
Cztery wesela i pogrzeb,Four Weddings and a Funeral,1994,"6,91"
Szara ciężarówka w kolorze czerwonym,Sivi kamion crvene boje,2004,"6,90"
Chennai Express,,2013,"6,90"
Bishōjo Senshi Sailor Moon Gaiden - Ami-chan no Hatsukoi,,1995,"6,90"
"Na pewno, być może","Definitely, Maybe",2008,"6,89"
Listy do M.,,2011,"6,88"
Jeszcze bardziej zgryźliwi tetrycy,Grumpier Old Men,1995,"6,87"
Francuski pocałunek,French Kiss,1995,"6,87"
Mały Manhattan,Little Manhattan,2005,"6,87"
Emma,,1996,"6,86"
Jak w niebie,Just Like Heaven,2005,"6,85"
Człowiek z kamerą,The Cameraman,1928,"6,85"
50 pierwszych randek,50 First Dates,2004,"6,85"
To skomplikowane,It's Complicated,2009,"6,84"
Masz wiadomość,You've Got Mail,1998,"6,82"
Igraszki losu,Serendipity,2001,"6,81"
Żona na niby,Just Go with It,2011,"6,80"
Zaczęło się w Neapolu,It Started in Naples,1960,"6,80"
Szczury z supermarketu,Mallrats,1995,"6,80"
Bridget Jones: W pogoni za rozumem,Bridget Jones: The Edge of Reason,2004,"6,80"
Życie i cała reszta,Anything Else,2003,"6,79"
Szalona kapela,Still Crazy,1998,"6,79"
Czego pragną kobiety,What Women Want,2000,"6,79"
Totalna magia,Practical Magic,1998,"6,78"
Wszyscy mówią: kocham cię,Everyone Says I Love You,1996,"6,76"
Stracone zachody miłości,Love's Labour's Lost,2000,"6,76"
Jak stracić chłopaka w 10 dni,How to Lose a Guy in 10 Days,2003,"6,75"
"Ja cię kocham, a ty śpisz",While You Were Sleeping,1995,"6,75"
Cocktail,,2012,"6,74"
Co się zdarzyło w Las Vegas,What Happens in Vegas,2008,"6,74"
I tak cię kocham,The Big Sick,2017,"6,74"
Przeboje i podboje,High Fidelity,2000,"6,74"
Szczęśliwy dzień,One Fine Day,1996,"6,73"
Miłość z przedszkola 2,Zweiohrküken,2009,"6,73"
Oświadczyny po irlandzku,Leap Year,2010,"6,73"
Po drugiej stronie,The Other End of the Line,2008,"6,73"
Miłość z przedszkola,Keinohrhasen,2007,"6,72"
To tylko seks,Friends with Benefits,2011,"6,72"
Clannad: After Story - Mō Hitotsu no Sekai - Kyō hen,,2009,"6,71"
Pyaar Impossible,,2010,"6,70"
Dziewczyna na pożegnanie,The Goodbye Girl,1977,"6,70"
Rodzinna sielanka,Playing House,2006,"6,70"
Myśl jak facet,Think Like a Man,2012,"6,69"
Odnaleziony narzeczony,Dulha Mil Gaya,2010,"6,69"
"Wybacz, ale będę ci mówiła skarbie",Scusa ma ti chiamo amore,2008,"6,69"
Roztańczony buntownik,Strictly Ballroom,1992,"6,69"
