polish_title,original_title,year,rating
Siedem,Se7en,1995,"8,30"
Podziemny krąg,Fight Club,1999,"8,28"
Incepcja,Inception,2010,"8,25"
Milczenie owiec,The Silence of the Lambs,1991,"8,24"
Wyspa tajemnic,Shutter Island,2010,"8,18"
Prestiż,The Prestige,2006,"8,09"
Psychoza,Psycho,1960,"8,05"
Miasto Boga,Cidade de Deus,2002,"8,00"
Wściekłe psy,Reservoir Dogs,1992,"7,95"
Adwokat diabła,The Devil's Advocate,1997,"7,91"
Co się zdarzyło Baby Jane?,What Ever Happened to Baby Jane?,1962,"7,91"
Uśpieni,Sleepers,1996,"7,90"
Labirynt,Prisoners,2013,"7,88"
Lęk pierwotny,Primal Fear,1996,"7,88"
Gra,The Game,1997,"7,85"
Prawo zemsty,Law Abiding Citizen,2009,"7,84"
Lokator,Le locataire,1976,"7,83"
Cena strachu,Le salaire de la peur,1953,"7,81"
Szósty zmysł,The Sixth Sense,1999,"7,81"
Perfect Blue,,1997,"7,80"
Zaginiona dziewczyna,Gone Girl,2014,"7,78"
Efekt motyla,The Butterfly Effect,2004,"7,76"
Amores perros,,2000,"7,76"
Podejrzani,The Usual Suspects,1995,"7,75"
Zawrót głowy,Vertigo,1958,"7,73"
Dogville,,2003,"7,73"
Północ - północny zachód,North by Northwest,1959,"7,72"
Bogowie ulicy,End of Watch,2012,"7,72"
Niebo i piekło,Tengoku to jigoku,1963,"7,72"
Łowca androidów,Blade Runner,1982,"7,71"
M - Morderca,M,1931,"7,71"
Dzień szakala,The Day of the Jackal,1973,"7,70"
Gasnący płomień,Gaslight,1944,"7,69"
Służąca,Ah-ga-ssi,2016,"7,69"
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,2011,"7,69"
Missisipi w ogniu,Mississippi Burning,1988,"7,68"
Rzeka tajemnic,Mystic River,2003,"7,68"
Oldboy,Oldeuboi,2003,"7,68"
Tajemnice Los Angeles,L.A. Confidential,1997,"7,67"
Upadek,Falling Down,1993,"7,66"
Pieskie popołudnie,Dog Day Afternoon,1975,"7,65"
Who Am I. Możesz być kim chcesz,Who Am I - Kein System ist sicher,2014,"7,64"
Hannibal,,2001,"7,63"
21 gramów,21 Grams,2003,"7,63"
Dziura,Le trou,1960,"7,62"
Słaby punkt,Fracture,2007,"7,62"
Fargo,,1996,"7,62"
Plan doskonały,Inside Man,2006,"7,62"
Urodzeni mordercy,Natural Born Killers,1994,"7,61"
Czysta formalność,Una pura formalità,1994,"7,61"
Rebeka,Rebecca,1940,"7,61"
"Millennium: Mężczyźni, którzy nienawidzą kobiet",Män som hatar kvinnor,2009,"7,61"
Harry Angel,Angel Heart,1987,"7,60"
Mechanik,El Maquinista,2004,"7,60"
Wszyscy ludzie prezydenta,All the President's Men,1976,"7,59"
Infernal Affairs: Piekielna gra,Mou gaan dou,2002,"7,59"
Misery,,1990,"7,58"
To nie jest kraj dla starych ludzi,No Country for Old Men,2007,"7,58"
Jestem Bogiem,Limitless,2011,"7,57"
Czerwony smok,Red Dragon,2002,"7,57"
Windą na szafot,Ascenseur pour l'échafaud,1958,"7,57"
Memento,,2000,"7,57"
Mulholland Drive,Mulholland Dr.,2001,"7,56"
Ucieczka z Alcatraz,Escape from Alcatraz,1979,"7,56"
Karmazynowy przypływ,Crimson Tide,1995,"7,54"
Blade Runner 2049,,2017,"7,54"
Drabina Jakubowa,Jacob's Ladder,1990,"7,53"
Zagubiona autostrada,Lost Highway,1997,"7,53"
Obłęd,The Jacket,2005,"7,53"
Blue Velvet,,1986,"7,53"
Samuraj,Le Samouraï,1967,"7,52"
Fanaa,,2006,"7,52"
Detektyw,Sleuth,1972,"7,52"
Sweeney Todd: Demoniczny golibroda z Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,2007,"7,52"
Drżące ciało,Carne trémula,1997,"7,51"
Otwórz oczy,Abre los ojos,1997,"7,51"
Doczekać zmroku,Wait Until Dark,1967,"7,51"
Wall Street,,1987,"7,50"
Maratończyk,Marathon Man,1976,"7,50"
Dolores,Dolores Claiborne,1995,"7,49"
Negocjator,The Negotiator,1998,"7,48"
"Millennium: Zamek z piasku, który runął",Luftslottet som sprängdes,2009,"7,48"
Pojedynek na szosie,Duel,1971,"7,48"
Wierny ogrodnik,The Constant Gardener,2005,"7,48"
Trzy dni Kondora,Three Days of the Condor,1975,"7,48"
Prawnik z Lincolna,The Lincoln Lawyer,2011,"7,47"
W lepszym świecie,Hævnen,2010,"7,47"
Kolekcjoner kości,The Bone Collector,1999,"7,47"
Instynkt,Instinct,1999,"7,46"
Gattaca - Szok przyszłości,Gattaca,1997,"7,45"
Utalentowany pan Ripley,The Talented Mr. Ripley,1999,"7,45"
Widmo,Les Diaboliques,1955,"7,45"
V jak Vendetta,V for Vendetta,2005,"7,44"
Potęga strachu,Running Scared,2006,"7,44"
Bez reguł,Unthinkable,2010,"7,44"
Equilibrium,,2002,"7,44"
Kill Bill 2,Kill Bill: Vol. 2,2004,"7,43"
Pani Zemsta,Chin-jeol-han Geum-ja-ssi,2005,"7,43"
Siedem dni w maju,Seven Days in May,1964,"7,43"
Rozłączeni,Disconnect,2012,"7,43"
