polish_title,original_title,year,rating
Skazani na Shawshank,The Shawshank Redemption,1994,"8,76"
Nietykalni,Intouchables,2011,"8,61"
Zielona mila,The Green Mile,1999,"8,60"
Ojciec chrzestny,The Godfather,1972,"8,59"
Dwunastu gniewnych ludzi,12 Angry Men,1957,"8,56"
Forrest Gump,,1994,"8,52"
Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,1975,"8,44"
Ojciec chrzestny II,The Godfather: Part II,1974,"8,38"
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,"8,34"
Lista Schindlera,Schindler's List,1993,"8,33"
Pulp Fiction,,1994,"8,32"
Życie jest piękne,La vita è bella,1997,"8,29"
Siedem,Se7en,1995,"8,27"
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,2002,"8,26"
Podziemny krąg,Fight Club,1999,"8,25"
Joker,,2019,"8,25"
Chłopcy z ferajny,Goodfellas,1990,"8,24"
Pianista,The Pianist,2002,"8,23"
Piękny umysł,A Beautiful Mind,2001,"8,22"
Incepcja,Inception,2010,"8,22"
Django,Django Unchained,2012,"8,21"
Milczenie owiec,The Silence of the Lambs,1991,"8,21"
Król Lew,The Lion King,1994,"8,21"
Człowiek z blizną,Scarface,1983,"8,17"
Gran Torino,,2008,"8,17"
Wyspa tajemnic,Shutter Island,2010,"8,15"
Coco,,2017,"8,14"
Więzień nienawiści,American History X,1998,"8,12"
Leon zawodowiec,Léon,1994,"8,12"
Green Book,,2018,"8,11"
Gladiator,,2000,"8,09"
Szeregowiec Ryan,Saving Private Ryan,1998,"8,07"
Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas,2008,"8,07"
Braveheart - Waleczne Serce,Braveheart,1995,"8,07"
Whiplash,,2014,"8,06"
Buntownik z wyboru,Good Will Hunting,1997,"8,06"
Przełęcz ocalonych,Hacksaw Ridge,2016,"8,06"
Czas Apokalipsy,Apocalypse Now,1979,"8,04"
Zapach kobiety,Scent of a Woman,1992,"8,04"
Prestiż,The Prestige,2006,"8,04"
Avengers: Wojna bez granic,Avengers: Infinity War,2018,"8,03"
Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,1980,"8,03"
"Dobry, zły i brzydki","Il buono, il brutto, il cattivo.",1966,"8,02"
Dawno temu w Ameryce,Once Upon a Time in America,1984,"8,02"
Gwiezdne wojny: Część VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi,1983,"8,01"
Służące,The Help,2011,"8,00"
Kasyno,Casino,1995,"8,00"
W pogoni za szczęściem,The Pursuit of Happyness,2006,"8,00"
Amadeusz,Amadeus,1984,"7,98"
Parasite,Gi-saeng-chung,2019,"7,98"
Gorączka,Heat,1995,"7,98"
Mroczny Rycerz,The Dark Knight,2008,"7,98"
Pluton,Platoon,1986,"7,98"
Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,"7,98"
Pamiętnik,The Notebook,2004,"7,97"
Bękarty wojny,Inglourious Basterds,2009,"7,97"
Infiltracja,The Departed,2006,"7,96"
Spirited Away: W krainie Bogów,Sen to Chihiro no Kamikakushi,2001,"7,95"
Bogowie,,2014,"7,95"
Łowca jeleni,The Deer Hunter,1978,"7,93"
Mój przyjaciel Hachiko,Hachi: A Dog's Tale,2009,"7,93"
Psychoza,Psycho,1960,"7,93"
Avengers: Koniec gry,Avengers: Endgame,2019,"7,93"
Siedem dusz,Seven Pounds,2008,"7,92"
Przebudzenia,Awakenings,1990,"7,92"
Miasto Boga,Cidade de Deus,2002,"7,90"
Przekręt,Snatch.,2000,"7,89"
Rain Man,,1988,"7,89"
Interstellar,,2014,"7,88"
Monty Python i Święty Graal,Monty Python and the Holy Grail,1975,"7,87"
Adwokat diabła,The Devil's Advocate,1997,"7,87"
Wściekłe psy,Reservoir Dogs,1992,"7,87"
Full Metal Jacket,,1987,"7,87"
Ojciec chrzestny III,The Godfather: Part III,1990,"7,86"
Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,1977,"7,86"
"Trzy billboardy za Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,"7,86"
Bohemian Rhapsody,,2018,"7,86"
Zwierzogród,Zootopia,2016,"7,85"
Cinema Paradiso,Nuovo cinema Paradiso,1988,"7,85"
Najlepszy,,2017,"7,85"
Contratiempo. Niewidzialny gość,Contratiempo,2016,"7,85"
