polish_title,original_title,year,rating
Lista Schindlera,Schindler's List,1993,"8,39"
Życie jest piękne,La vita è bella,1997,"8,37"
Pianista,The Pianist,2002,"8,27"
Czas Apokalipsy,Apocalypse Now,1979,"8,15"
Korespondent Bryan,,2010,"8,15"
Przełęcz ocalonych,Hacksaw Ridge,2016,"8,14"
Pluton,Platoon,1986,"8,12"
Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas,2008,"8,12"
Idź i patrz,Idi i smotri,1985,"8,11"
Szeregowiec Ryan,Saving Private Ryan,1998,"8,10"
Łowca jeleni,The Deer Hunter,1978,"8,07"
Pogorzelisko,Incendies,2010,"8,06"
Mandarynki,Mandariinid,2013,"8,06"
Bękarty wojny,Inglourious Basterds,2009,"8,00"
Full Metal Jacket,,1987,"7,97"
Ścieżki chwały,Paths of Glory,1957,"7,93"
Johnny poszedł na wojnę,Johnny Got His Gun,1971,"7,92"
Pożegnalny walc,Waterloo Bridge,1940,"7,90"
Wróg u bram,Enemy at the Gates,2001,"7,90"
Underground,,1995,"7,86"
Jak rozpętałem drugą wojnę światową,,1969,"7,86"
Okręt,Das Boot,1981,"7,80"
Wołyń,,2016,"7,79"
Helikopter w ogniu,Black Hawk Down,2001,"7,78"
Imperium Słońca,Empire of the Sun,1987,"7,78"
Generał,The General,1926,"7,78"
Lecą żurawie,Letyat zhuravli,1957,"7,77"
Jeniec: Tak daleko jak nogi poniosą,So weit die Füße tragen,2001,"7,77"
Wielka ucieczka,The Great Escape,1963,"7,77"
Wielka włóczęga,La grande vadrouille,1966,"7,75"
9 kompania,9 rota,2005,"7,75"
Kanał,,1956,"7,75"
Walc z Baszirem,Vals im Bashir,2008,"7,74"
Braterstwo broni,Tae-geug-ki Hwi-nal-ri-myeo,2004,"7,73"
Jojo Rabbit,,2019,"7,72"
Los człowieka,Sudba cheloveka,1959,"7,71"
Pola śmierci,The Killing Fields,1984,"7,70"
Eroica,,1957,"7,69"
Powtórnie narodzony,Venuto al mondo,2012,"7,69"
Sklep przy głównej ulicy,Obchod na korze,1965,"7,68"
1917,,2019,"7,67"
Niezwyciężeni,,2017,"7,67"
Pociąg życia,Train de vie,1998,"7,66"
Tylko dla orłów,Where Eagles Dare,1968,"7,66"
Ziemia niczyja,No Man's Land,2001,"7,65"
Najdłuższy dzień,The Longest Day,1962,"7,65"
Europa Europa,,1990,"7,65"
Głosy niewinności,Voces inocentes,2004,"7,63"
O jeden most za daleko,A Bridge Too Far,1977,"7,63"
Złoto dla zuchwałych,Kelly's Heroes,1970,"7,63"
Najlepsze lata naszego życia,The Best Years of Our Lives,1946,"7,62"
Zakazane piosenki,,1946,"7,62"
Little Boy,,2015,"7,61"
Byliśmy żołnierzami,We Were Soldiers,2002,"7,60"
Wzgórze,The Hill,1965,"7,60"
Lawrence z Arabii,Lawrence of Arabia,1962,"7,60"
Parszywa dwunastka,The Dirty Dozen,1967,"7,59"
Most na rzece Kwai,The Bridge on the River Kwai,1957,"7,59"
Życie jest cudem,Život je čudo,2004,"7,59"
Król szczurów,King Rat,1965,"7,58"
Snajper,American Sniper,2014,"7,58"
Cienka czerwona linia,The Thin Red Line,1998,"7,58"
Listy z Iwo Jimy,Letters from Iwo Jima,2006,"7,57"
Stalingrad,,1993,"7,56"
"Good Morning, Vietnam",,1987,"7,55"
Korczak,,1990,"7,55"
Ma-i We-i,,2011,"7,55"
W księżycową jasną noc,A Midnight Clear,1992,"7,54"
Matka i córka,La ciociara,1960,"7,53"
C.K. Dezerterzy,,1985,"7,52"
Czerwona linia,Fail-Safe,1964,"7,52"
Ofiary wojny,Casualties of War,1989,"7,51"
Ocalony,Lone Survivor,2013,"7,51"
Czasem w kwietniu,Sometimes in April,2005,"7,51"
Na Zachodzie bez zmian,All Quiet on the Western Front,1930,"7,51"
Wzgórze Rozdartych Serc,Heartbreak Ridge,1986,"7,50"
Stąd do wieczności,From Here to Eternity,1953,"7,50"
Kwiaty wojny,Jin Ling Shi San Chai,2011,"7,50"
Pociągi pod specjalnym nadzorem,Ostře sledované vlaky,1966,"7,50"
Fabryka zła,Napola - Elite für den Führer,2004,"7,50"
Złodziejka książek,The Book Thief,2013,"7,48"
Gdyby żółwie mogły latać,Lakposhtha parvaz mikonand,2004,"7,48"
Wybawca,Savior,1998,"7,48"
Piękna wieś pięknie płonie,Lepa sela lepo gore,1996,"7,47"
Zmierzch bogów,La caduta degli dei (Götterdämmerung),1969,"7,47"
Wolne miasto,,1958,"7,47"
Threads,,1984,"7,46"
Szczególny dzień,Una giornata particolare,1977,"7,46"
Upadek,Der Untergang,2004,"7,46"
Świadectwo urodzenia,,1961,"7,45"
Żyć!,Huo Zhe,1994,"7,44"
Noc i mgła,Nuit et brouillard,1955,"7,44"
Na Zachodzie bez zmian,All Quiet on the Western Front,1979,"7,43"
Kukułka,Kukushka,2002,"7,43"
Westerplatte,,1967,"7,43"
Orzeł,,1958,"7,43"
Pomiędzy niebem a ziemią,Heaven & Earth,1993,"7,42"
Tak tu cicho o zmierzchu,A zori zdes tikhie,1972,"7,41"
Pearl Harbor,,2001,"7,41"
Hubal,,1973,"7,41"
